Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
50	1	0.000878	3.06	3.13	-62.8	-47.7	-18.6	-62.8	-47.7	-18.6	108	-62.8	-47.7	-18.6	108
49	1	0.000751	3.12	3.17	-6.76	1.98	73	-6.76	1.98	73	145	-6.76	1.98	73	145
48	1	0.000483	3.32	3.3	3.94	-81.7	-54.1	3.94	-81.7	-54.1	106	3.94	-81.7	-54.1	106
47	1	0.00055	3.26	3.26	10.7	46.5	59.1	10.7	46.5	59.1	133	10.7	46.5	59.1	133
46	1	0.000686	3.16	3.2	-51.1	-23.8	73.1	-51.1	-23.8	73.1	154	-51.1	-23.8	73.1	154
45	1	0.000409	3.39	3.35	55.4	-41.3	-45.6	55.4	-41.3	-45.6	218	55.4	-41.3	-45.6	218
44	1	5.33e-05	4.27	3.88	-55.6	4.41	-50.4	-55.6	4.41	-50.4	81.9	-55.6	4.41	-50.4	81.9
43	1	0.000305	3.52	3.43	-27.9	-54	77.7	-27.9	-54	77.7	202	-27.9	-54	77.7	202
42	1	0.0007	3.15	3.19	21	-97.6	-23.5	21	-97.6	-23.5	176	21	-97.6	-23.5	176
41	1	8.63e-06	5.06	4.3	-25	-76.2	64.5	-25	-76.2	64.5	103	-25	-76.2	64.5	103
40	1	0.00022	3.66	3.52	-33.1	-96.1	-22.3	-33.1	-96.1	-22.3	97.9	-33.1	-96.1	-22.3	97.9
39	1	0.000517	3.29	3.28	-45.9	-43.3	-31.1	-45.9	-43.3	-31.1	163	-45.9	-43.3	-31.1	163
38	1	0.000609	3.22	3.23	-40.3	30.7	57.6	-40.3	30.7	57.6	62.3	-40.3	30.7	57.6	62.3
37	1	0.000946	3.02	3.11	59	-42.2	-28.6	59	-42.2	-28.6	160	59	-42.2	-28.6	160
36	1	4.14e-05	4.38	3.94	47.5	25	56.1	47.5	25	56.1	74.6	47.5	25	56.1	74.6
35	1	0.0001	4	3.72	-37.2	14.2	60.4	-37.2	14.2	60.4	102	-37.2	14.2	60.4	102
34	1	0.000782	3.11	3.16	-20.4	3.95	61.7	-20.4	3.95	61.7	75.2	-20.4	3.95	61.7	75.2
33	1	0.000639	3.19	3.22	9.46	-39.5	68.4	9.46	-39.5	68.4	88.9	9.46	-39.5	68.4	88.9
32	1	0.000271	3.57	3.46	-19.6	-96.5	-22.6	-19.6	-96.5	-22.6	151	-19.6	-96.5	-22.6	151
31	1	0.000396	3.4	3.36	16.9	57.5	0.457	16.9	57.5	0.457	198	16.9	57.5	0.457	198
30	1	0.000161	3.79	3.6	44.1	66.6	-1.89	44.1	66.6	-1.89	57.9	44.1	66.6	-1.89	57.9
29	1	3.08e-05	4.51	4.01	-0.602	12.2	8.85	-0.602	12.2	8.85	403	-0.602	12.2	8.85	403
28	1	0.000343	3.46	3.39	-26.9	68.6	-0.225	-26.9	68.6	-0.225	63.9	-26.9	68.6	-0.225	63.9
27	1	0.000713	3.15	3.19	76.5	-39.2	15.6	76.5	-39.2	15.6	41.7	76.5	-39.2	15.6	41.7
26	1	0.000988	3.01	3.09	15.5	-44	18.2	15.5	-44	18.2	65.9	15.5	-44	18.2	65.9
25	1	0.000129	3.89	3.65	-32.2	-72.1	24.4	-32.2	-72.1	24.4	80.7	-32.2	-72.1	24.4	80.7
24	1	0.000414	3.38	3.34	38.7	-89.7	31.1	38.7	-89.7	31.1	80.6	38.7	-89.7	31.1	80.6
23	1	0.000332	3.48	3.4	6.08	11.1	3.18	6.08	11.1	3.18	236	6.08	11.1	3.18	236
22	1	0.000349	3.46	3.39	-61.9	-13.2	9.34	-61.9	-13.2	9.34	94.5	-61.9	-13.2	9.34	94.5
21	1	0.000633	3.2	3.22	76.5	-33.5	8.94	76.5	-33.5	8.94	54.2	76.5	-33.5	8.94	54.2
20	1	0.00042	3.38	3.34	76.7	-28.5	19.4	76.7	-28.5	19.4	51.2	76.7	-28.5	19.4	51.2
19	1	0.00032	3.49	3.41	30.6	58.8	11.1	30.6	58.8	11.1	130	30.6	58.8	11.1	130
18	1	0.000275	3.56	3.45	20.7	75.5	8.53	20.7	75.5	8.53	153	20.7	75.5	8.53	153
17	1	0.000355	3.45	3.39	-58.6	-56.5	56.4	-58.6	-56.5	56.4	156	-58.6	-56.5	56.4	156
16	1	0.000989	3	3.09	-45.2	-52.8	38.4	-45.2	-52.8	38.4	85.6	-45.2	-52.8	38.4	85.6
15	1	0.000913	3.04	3.12	-65.6	-30.3	6.77	-65.6	-30.3	6.77	116	-65.6	-30.3	6.77	116
14	1	0.000568	3.25	3.25	-75.8	-33.3	7.57	-75.8	-33.3	7.57	66.1	-75.8	-33.3	7.57	66.1
13	1	0.000669	3.17	3.21	9.87	20.9	24	9.87	20.9	24	149	9.87	20.9	24	149
12	1	0.000728	3.14	3.18	20.4	41.1	25.8	20.4	41.1	25.8	114	20.4	41.1	25.8	114
11	1	0.000597	3.22	3.24	32.3	-79.5	52.1	32.3	-79.5	52.1	115	32.3	-79.5	52.1	115
10	1	0.000927	3.03	3.11	43.5	40.3	-19.9	43.5	40.3	-19.9	236	43.5	40.3	-19.9	236
9	1	0.000287	3.54	3.44	-37.9	26.2	-15.2	-37.9	26.2	-15.2	142	-37.9	26.2	-15.2	142
8	1	0.000865	3.06	3.13	14.5	-99.7	5.27	14.5	-99.7	5.27	140	14.5	-99.7	5.27	140
7	1	0.000448	3.35	3.32	-71.7	-20.9	44.9	-71.7	-20.9	44.9	70.9	-71.7	-20.9	44.9	70.9
6	1	0.000233	3.63	3.5	19.6	-16.9	41.6	19.6	-16.9	41.6	68.5	19.6	-16.9	41.6	68.5
5	1	0.0004	3.4	3.35	-21.6	-67.3	57.2	-21.6	-67.3	57.2	154	-21.6	-67.3	57.2	154
4	1	8.93e-05	4.05	3.75	39.6	-46.1	51.8	39.6	-46.1	51.8	130	39.6	-46.1	51.8	130
3	1	0.000464	3.33	3.31	-68.2	-13.6	49.2	-68.2	-13.6	49.2	64.1	-68.2	-13.6	49.2	64.1
2	1	0.00071	3.15	3.19	-72.6	-32.6	-9.59	-72.6	-32.6	-9.59	86.8	-72.6	-32.6	-9.59	86.8
1	1	1.59e-05	4.8	4.16	18.5	-90.7	43.2	18.5	-90.7	43.2	133	18.5	-90.7	43.2	133
