Cluster Index	Voxels	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
29	1	3.82	-32.2	-72.1	24.4	-32.2	-72.1	24.4	86.6	-32.2	-72.1	24.4	86.6
28	1	3.4	6.08	11.1	3.18	6.08	11.1	3.18	242	6.08	11.1	3.18	242
27	1	4.03	-0.602	12.2	8.85	-0.602	12.2	8.85	417	-0.602	12.2	8.85	417
26	1	3.1	-41.2	13.3	9.8	-41.2	13.3	9.8	63	-41.2	13.3	9.8	63
25	1	3.36	76.5	-33.5	8.94	76.5	-33.5	8.94	57.7	76.5	-33.5	8.94	57.7
24	1	3.46	-26.9	68.6	-0.225	-26.9	68.6	-0.225	67.1	-26.9	68.6	-0.225	67.1
23	1	3.46	38.7	-89.7	31.1	38.7	-89.7	31.1	85.2	38.7	-89.7	31.1	85.2
22	1	3.25	66.3	-47.9	23	66.3	-47.9	23	91.8	66.3	-47.9	23	91.8
21	1	3.41	76.7	-28.5	19.4	76.7	-28.5	19.4	53.6	76.7	-28.5	19.4	53.6
20	1	3.61	-75.8	-33.3	7.57	-75.8	-33.3	7.57	74	-75.8	-33.3	7.57	74
19	1	3.09	23.6	45.1	8.09	23.6	45.1	8.09	96.8	23.6	45.1	8.09	96.8
18	1	3.1	-50.7	53.7	8.69	-50.7	53.7	8.69	64.5	-50.7	53.7	8.69	64.5
17	1	3.53	20.7	75.5	8.53	20.7	75.5	8.53	159	20.7	75.5	8.53	159
16	1	3.34	-68.2	-13.6	49.2	-68.2	-13.6	49.2	66.3	-68.2	-13.6	49.2	66.3
15	1	3.2	-45.2	-52.8	38.4	-45.2	-52.8	38.4	90.5	-45.2	-52.8	38.4	90.5
14	1	3.17	-21.7	-69	46.2	-21.7	-69	46.2	240	-21.7	-69	46.2	240
13	1	3.09	-66.2	-64.7	1.47	-66.2	-64.7	1.47	54.1	-66.2	-64.7	1.47	54.1
12	1	3.26	14.5	-99.7	5.27	14.5	-99.7	5.27	148	14.5	-99.7	5.27	148
11	1	3.54	32.3	-79.5	52.1	32.3	-79.5	52.1	126	32.3	-79.5	52.1	126
10	1	3.1	-58.6	-47.5	49.1	-58.6	-47.5	49.1	126	-58.6	-47.5	49.1	126
9	1	3.5	-71.7	-20.9	44.9	-71.7	-20.9	44.9	76.2	-71.7	-20.9	44.9	76.2
8	1	3.1	13.2	9.44	37.2	13.2	9.44	37.2	80.7	13.2	9.44	37.2	80.7
7	1	3.42	-21.6	-67.3	57.2	-21.6	-67.3	57.2	161	-21.6	-67.3	57.2	161
6	1	3.31	-72.6	-32.6	-9.59	-72.6	-32.6	-9.59	92	-72.6	-32.6	-9.59	92
5	1	3.78	39.6	-46.1	51.8	39.6	-46.1	51.8	135	39.6	-46.1	51.8	135
4	1	3.55	-59.6	-75.6	-2.48	-59.6	-75.6	-2.48	74.1	-59.6	-75.6	-2.48	74.1
3	1	3.46	-3.97	43.2	-30.4	-3.97	43.2	-30.4	148	-3.97	43.2	-30.4	148
2	1	3.16	-11	-40.6	57.9	-11	-40.6	57.9	167	-11	-40.6	57.9	167
1	1	4.22	18.5	-90.7	43.2	18.5	-90.7	43.2	137	18.5	-90.7	43.2	137
